#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
Staphylococcus aureus subsp. aureus COL,COL,19988,SAMN02603996 ,PRJNA238,Terrabacteria group,Firmicutes,GCA_000012045.1 ,2.81386,32.7956,chromosome:NC_002951.2/CP000046.1; plasmid pT181:NC_006629.2/CP000045.2,-,2,2927,2779,2001/9/14,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/045/GCF_000012045.1_ASM1204v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/045/GCA_000012045.1_ASM1204v1
Staphylococcus aureus subsp. aureus USA300_FPR3757,USA300_FPR3757,19988,SAMN02604150 ,PRJNA16313,Terrabacteria group,Firmicutes,GCA_000013465.1 ,2.91747,32.7392,chromosome:NC_007793.1/CP000255.1; plasmid pUSA01:NC_007790.1/CP000256.1; plasmid pUSA02:NC_007791.1/CP000257.1; plasmid pUSA03:NC_007792.1/CP000258.1,-,4,3063,2917,2006/2/10,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/465/GCF_000013465.1_ASM1346v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/465/GCA_000013465.1_ASM1346v1
Staphylococcus aureus subsp. aureus JH9,JH9,19988,SAMN02598343 ,PRJNA15757,Terrabacteria group,Firmicutes,GCA_000016805.1 ,2.93713,32.8658,chromosome:NC_009487.1/CP000703.1; plasmid pSJH901:NC_009477.1/CP000704.1,-,2,3095,2931,2007/5/18,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/805/GCF_000016805.1_ASM1680v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/805/GCA_000016805.1_ASM1680v1
Staphylococcus aureus subsp. aureus USA300_TCH1516,TCH1516,19988,SAMN00253845 ,PRJNA19489,Terrabacteria group,Firmicutes,GCA_000017085.1 ,2.90308,32.7742,chromosome:NC_010079.1/CP000730.1; plasmid pUSA01-HOU:NC_012417.1/CP001544.1; plasmid pUSA300HOUMR:NC_010063.1/CP000731.1,-,3,3061,2900,2007/11/16,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/085/GCF_000017085.1_ASM1708v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/085/GCA_000017085.1_ASM1708v1
Staphylococcus aureus subsp. aureus JH1,JH1,19988,SAMN02598344 ,PRJNA15758,Terrabacteria group,Firmicutes,GCA_000017125.1 ,2.93694,32.9648,chromosome:NC_009632.1/CP000736.1; plasmid pSJH101:NC_009619.1/CP000737.1,-,2,3096,2934,2007/6/28,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/125/GCF_000017125.1_ASM1712v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/125/GCA_000017125.1_ASM1712v1
Staphylococcus aureus subsp. aureus ED98,ED98,19988,SAMN02604165 ,PRJNA39547,Terrabacteria group,Firmicutes,GCA_000024585.1 ,2.84754,32.7742,chromosome:NC_013450.1/CP001781.1; plasmid pAVX:NC_013453.1/CP001784.1; plasmid pAVY:NC_013451.1/CP001782.1; plasmid pT181:NC_013452.1/CP001783.1,-,4,2968,2794,2009/10/27,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/585/GCF_000024585.1_ASM2458v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/585/GCA_000024585.1_ASM2458v1
Staphylococcus aureus 04-02981,04-02981,19988,SAMN02603764 ,PRJNA34809,Terrabacteria group,Firmicutes,GCA_000025145.2 ,2.82145,32.9,chromosome:NC_017340.1/CP001844.2,-,1,2932,2776,2010/2/3,2017/3/22,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/145/GCF_000025145.1_ASM2514v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/145/GCA_000025145.2_ASM2514v1
Staphylococcus aureus subsp. aureus TW20,TW20,19988,SAMEA2272282 ,PRJEA36647,Terrabacteria group,Firmicutes,GCA_000027045.1 ,3.07581,32.7972,chromosome:NC_017331.1/FN433596.1; plasmid pTW20_1:NC_017352.1/FN433597.1; plasmid pTW20_2:NC_017332.1/FN433598.1,-,3,3254,3075,2009/11/25,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/045/GCF_000027045.1_ASM2704v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/045/GCA_000027045.1_ASM2704v1
Staphylococcus aureus subsp. aureus JKD6159,JKD6159,19988,SAMN02604217 ,PRJNA50759,Terrabacteria group,Firmicutes,GCA_000144955.1 ,2.83216,32.7678,chromosome:NC_017338.1/CP002114.2; plasmid pSaa6159:NC_017339.1/CP002115.1,-,2,2926,2728,2010/8/6,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/955/GCF_000144955.1_ASM14495v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/955/GCA_000144955.1_ASM14495v1
Staphylococcus aureus subsp. aureus str. JKD6008,JKD6008,19988,SAMN02603619 ,PRJNA29567,Terrabacteria group,Firmicutes,GCA_000145595.1 ,2.92434,32.9,chromosome:NC_017341.1/CP002120.1,-,1,3114,2903,2010/8/13,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/145/595/GCF_000145595.1_ASM14559v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/595/GCA_000145595.1_ASM14559v1
Staphylococcus aureus subsp. aureus TCH60,TCH60,19988,SAMN00002240 ,PRJNA31539,Terrabacteria group,Firmicutes,GCA_000159535.2 ,2.82717,32.8593,chromosome:NC_017342.1/CP002110.1; plasmid unnamed:NC_017345.1/CP002111.1,-,2,2907,2691,2010/11/23,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/535/GCF_000159535.2_ASM15953v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/535/GCA_000159535.2_ASM15953v2
Staphylococcus aureus subsp. aureus 55/2053,55/2053,19988,SAMN00103091 ,PRJNA34891,Terrabacteria group,Firmicutes,GCA_000160335.2 ,2.77737,32.8162,chromosome:NC_022113.1/CP002388.1; plasmid unnamed:NC_022126.1/CP002389.1,-,2,2878,2693,2013/8/21,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/335/GCF_000160335.2_ASM16033v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/335/GCA_000160335.2_ASM16033v2
Staphylococcus aureus O46,O46,19988,SAMN02469934 ,PRJNA62081,Terrabacteria group,Firmicutes,GCA_000189455.3 ,2.79141,32.8,chromosome:NZ_CP025395.1/CP025395.1,-,1,2858,2667,2017/12/15,2017/12/22,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/455/GCF_000189455.2_ASM18945v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/455/GCA_000189455.3_ASM18945v3
Staphylococcus aureus subsp. aureus T0131,T0131,19988,SAMN02603905 ,PRJNA65323,Terrabacteria group,Firmicutes,GCA_000204665.1 ,2.9139,32.8,chromosome:NC_017347.1/CP002643.1,-,1,3056,2878,2011/4/19,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/204/665/GCF_000204665.1_ASM20466v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/665/GCA_000204665.1_ASM20466v1
Staphylococcus aureus subsp. aureus ED133,ED133,19988,SAMN02604166 ,PRJNA41277,Terrabacteria group,Firmicutes,GCA_000210315.1 ,2.83248,32.9,chromosome:NC_017337.1/CP001996.1,-,1,2962,2770,2010/6/21,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/315/GCF_000210315.1_ASM21031v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/315/GCA_000210315.1_ASM21031v1
Staphylococcus aureus subsp. aureus M013,M013,19988,SAMN02603643 ,PRJNA78007,Terrabacteria group,Firmicutes,GCA_000237125.1 ,2.78864,32.9,chromosome:NC_016928.1/CP003166.1,-,1,2877,2642,2011/12/12,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/125/GCF_000237125.1_ASM23712v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/237/125/GCA_000237125.1_ASM23712v1
Staphylococcus aureus subsp. aureus LGA251,LGA251,19988,SAMEA2272771 ,PRJEA62883,Terrabacteria group,Firmicutes,GCA_000237265.1 ,2.75383,32.9958,chromosome:NC_017349.1/FR821779.1; plasmid pLGA251:NC_017348.1/FR821780.1,-,2,2818,2632,2011/8/18,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/265/GCF_000237265.1_ASM23726v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/237/265/GCA_000237265.1_ASM23726v1
Staphylococcus aureus subsp. aureus 11819-97,11819-97,19988,SAMN02603886 ,PRJNA78269,Terrabacteria group,Firmicutes,GCA_000239235.1 ,2.86886,32.8704,chromosome:NC_017351.1/CP003194.1; plasmid p11819-97:NC_017350.1/CP003193.1,-,2,2986,2821,2011/12/21,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/239/235/GCF_000239235.1_ASM23923v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/239/235/GCA_000239235.1_ASM23923v1
Staphylococcus aureus subsp. aureus VC40,VC40,19988,SAMN02603393 ,PRJNA66591,Terrabacteria group,Firmicutes,GCA_000245495.1 ,2.69257,32.8,chromosome:NC_016912.1/CP003033.1,-,1,2790,2640,2012/2/1,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/245/495/GCF_000245495.1_ASM24549v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/495/GCA_000245495.1_ASM24549v1
Staphylococcus aureus subsp. aureus ECT-R 2,ECT-R 2,19988,SAMEA2271964 ,PRJEA52833,Terrabacteria group,Firmicutes,GCA_000253135.1 ,2.75905,32.8419,chromosome:NC_017343.1/FR714927.1; plasmid pLUH01:NC_017346.1/FR714928.1; plasmid pLUH02:NC_017344.1/FR714929.1,-,3,2851,2689,2010/11/24,2018/1/11,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/135/GCF_000253135.1_ASM25313v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/135/GCA_000253135.1_ASM25313v1
Staphylococcus aureus subsp. aureus HO 5096 0412,HO 5096 0412,19988,SAMEA2272552 ,PRJEA71279,Terrabacteria group,Firmicutes,GCA_000284535.1 ,2.8323,32.8,chromosome:NC_017763.1/HE681097.1,-,1,2936,2750,2012/4/23,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/535/GCF_000284535.1_ASM28453v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/535/GCA_000284535.1_ASM28453v1
Staphylococcus aureus 08BA02176,08BA02176,19988,SAMN02603722 ,PRJNA174226,Terrabacteria group,Firmicutes,GCA_000296595.1 ,2.78231,32.9,chromosome:NC_018608.1/CP003808.1,-,1,2858,2671,2012/9/14,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/296/595/GCF_000296595.1_ASM29659v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/595/GCA_000296595.1_ASM29659v1
Staphylococcus aureus subsp. aureus ST228,ST228,19988,SAMEA2272458 ,PRJEA71349,Terrabacteria group,Firmicutes,GCA_000382965.1 ,2.79069,32.8912,chromosome:NC_020533.1/HE579065.1; plasmid pI4T8:NC_020534.1/HE579066.1,-,2,2883,2711,2012/10/5,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/382/965/GCF_000382965.1_ASM38296v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/382/965/GCA_000382965.1_ASM38296v1
Staphylococcus aureus subsp. aureus ST228,ST228,19988,SAMEA2272299 ,PRJEA71351,Terrabacteria group,Firmicutes,GCA_000382985.1 ,2.79674,32.844,chromosome:NC_020566.1/HE579067.1; plasmid pI5S5:NC_020535.1/HE579068.1,-,2,2883,2705,2012/10/5,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/382/985/GCF_000382985.1_ASM38298v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/382/985/GCA_000382985.1_ASM38298v1
Staphylococcus aureus subsp. aureus ST228,ST228,19988,SAMEA2272502 ,PRJEA71357,Terrabacteria group,Firmicutes,GCA_000383005.1 ,2.78309,32.8693,chromosome:NC_020568.1/HE579073.1; plasmid pI8T7:NC_020539.1/HE579074.1,-,2,2872,2701,2012/10/5,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/383/005/GCF_000383005.1_ASM38300v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/383/005/GCA_000383005.1_ASM38300v1
Staphylococcus aureus CA-347,CA-347,19988,SAMN02603909 ,PRJNA197422,Terrabacteria group,Firmicutes,GCA_000412775.1 ,2.87516,32.9631,chromosome:NC_021554.1/CP006044.1; plasmid unnamed:NC_021552.1/CP006045.1,-,2,2994,2809,2013/6/20,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/412/775/GCF_000412775.1_ASM41277v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/412/775/GCA_000412775.1_ASM41277v1
Staphylococcus aureus,Bmb9393,19988,SAMN02603524 ,PRJNA196937,Terrabacteria group,Firmicutes,GCA_000418345.1 ,2.98346,32.8966,chromosome:NC_021670.1/CP005288.1; plasmid pBmb9393:NC_021657.1/CP005289.1,-,2,3157,2959,2013/7/5,2018/5/8,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/418/345/GCF_000418345.1_ASM41834v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/418/345/GCA_000418345.1_ASM41834v1
Staphylococcus aureus subsp. aureus Tager 104,Tager 104,19988,SAMN02393830 ,PRJNA213989,Terrabacteria group,Firmicutes,GCA_000452385.2 ,2.82084,32.9,chromosome:NZ_CP012409.1/CP012409.1,-,1,2945,2678,2016/3/8,2017/3/6,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/452/385/GCF_000452385.2_ASM45238v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/452/385/GCA_000452385.2_ASM45238v2
Staphylococcus aureus subsp. aureus 6850,6850,19988,SAMN02604264 ,PRJNA216988,Terrabacteria group,Firmicutes,GCA_000462955.1 ,2.73656,32.8,chromosome:NC_022222.1/CP006706.1,-,1,2805,2593,2013/8/30,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/462/955/GCF_000462955.1_ASM46295v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/462/955/GCA_000462955.1_ASM46295v1
Staphylococcus aureus subsp. aureus CN1,CN1,19988,SAMN02603420 ,PRJNA162343,Terrabacteria group,Firmicutes,GCA_000463055.1 ,2.75707,32.7942,chromosome:NC_022226.1/CP003979.1; plasmid unnamed:NC_022227.1/CP003980.1; plasmid unnamed2:NC_022228.1/CP003981.1,-,3,2838,2674,2013/8/30,2018/1/11,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/463/055/GCF_000463055.1_ASM46305v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/463/055/GCA_000463055.1_ASM46305v1
Staphylococcus aureus subsp. aureus SA957,SA957,19988,SAMN00996491 ,PRJNA167119,Terrabacteria group,Firmicutes,GCA_000470845.1 ,2.78954,32.9,chromosome:NC_022442.1/CP003603.1,-,1,2884,2696,2013/9/24,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/470/845/GCF_000470845.1_ASM47084v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/470/845/GCA_000470845.1_ASM47084v1
Staphylococcus aureus subsp. aureus SA40,SA40,19988,SAMN02603110 ,PRJNA167373,Terrabacteria group,Firmicutes,GCA_000470865.1 ,2.72831,32.9,chromosome:NC_022443.1/CP003604.1,-,1,2794,2606,2013/9/24,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/470/865/GCF_000470865.1_ASM47086v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/470/865/GCA_000470865.1_ASM47086v1
Staphylococcus aureus subsp. aureus Z172,Z172,19988,SAMN02370325 ,PRJNA222409,Terrabacteria group,Firmicutes,GCA_000485885.1 ,3.0183,32.798,chromosome:NC_022604.1/CP006838.1; plasmid pZ172_1:NC_022610.1/CP006839.1; plasmid pZ172_2:NC_022605.1/CP006840.1,-,3,3203,3014,2013/10/29,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/485/885/GCF_000485885.1_ASM48588v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/485/885/GCA_000485885.1_ASM48588v1
Staphylococcus aureus USA300-ISMMS1,USA300-ISMMS1,19988,SAMN03081531 ,PRJNA237099,Terrabacteria group,Firmicutes,GCA_000568455.1 ,2.9512,32.7746,chromosome:NZ_CP007176.1/CP007176.1; plasmid pUSA01-ISMMS:NZ_CP007177.1/CP007177.1; plasmid pUSA02-ISMMS:NZ_CP007178.1/CP007178.1,-,3,3122,2954,2014/2/12,2017/3/3,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/568/455/GCF_000568455.1_ASM56845v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/568/455/GCA_000568455.1_ASM56845v1
Staphylococcus aureus,502A,19988,SAMN02690781 ,PRJNA240093,Terrabacteria group,Firmicutes,GCA_000597965.1 ,2.78769,32.8538,chromosome:NZ_CP007454.1/CP007454.1; plasmid unnamed:NZ_CP007455.1/CP007455.1,-,2,2910,2749,2014/3/19,2017/3/3,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/597/965/GCF_000597965.1_ASM59796v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/597/965/GCA_000597965.1_ASM59796v1
Staphylococcus aureus subsp. aureus,FDAARGOS_5,19988,SAMN02700075 ,PRJNA231221,Terrabacteria group,Firmicutes,GCA_000626615.3 ,2.81019,32.8,chromosome:NZ_CP007539.2/CP007539.3,-,1,2921,2774,2014/4/11,2018/3/7,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/626/615/GCF_000626615.2_ASM62661v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/626/615/GCA_000626615.3_ASM62661v3
Staphylococcus aureus subsp. aureus,H-EMRSA-15,19988,SAMN02767598 ,PRJNA246435,Terrabacteria group,Firmicutes,GCA_000695215.1 ,2.84632,32.8,chromosome:NZ_CP007659.1/CP007659.1,-,1,2951,2775,2014/5/20,2017/3/4,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/695/215/GCF_000695215.1_ASM69521v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/695/215/GCA_000695215.1_ASM69521v1
Staphylococcus aureus,UA-S391_USA300,19988,SAMN02777327 ,PRJNA246435,Terrabacteria group,Firmicutes,GCA_000695875.1 ,2.87292,32.8,chromosome:NZ_CP007690.1/CP007690.1,-,1,3022,2867,2014/5/27,2017/3/3,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/695/875/GCF_000695875.1_ASM69587v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/695/875/GCA_000695875.1_ASM69587v1
Staphylococcus aureus subsp. aureus SA268,SA268,19988,SAMN02261725 ,PRJNA213166,Terrabacteria group,Firmicutes,GCA_000737615.1 ,2.8339,32.9,chromosome:NZ_CP006630.1/CP006630.1,-,1,2950,2753,2014/8/4,2017/3/4,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/737/615/GCF_000737615.1_ASM73761v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/737/615/GCA_000737615.1_ASM73761v1
Staphylococcus aureus,2395 USA500,19988,SAMN03290990 ,PRJNA240091,Terrabacteria group,Firmicutes,GCA_000746505.1 ,2.98805,32.8642,chromosome:NZ_CP007499.1/CP007499.1; plasmid pUSA500:NZ_CP007500.1/CP007500.1,-,2,3187,3009,2014/8/29,2017/3/4,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/505/GCF_000746505.1_ASM74650v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/505/GCA_000746505.1_ASM74650v1
Staphylococcus aureus subsp. aureus,ATCC 25923,19988,SAMN03009478 ,PRJNA259557,Terrabacteria group,Firmicutes,GCA_000756205.1 ,2.80634,32.8784,chromosome:NZ_CP009361.1/CP009361.1; plasmid pS1945:NZ_CP009362.1/CP009362.1,-,2,2894,2714,2014/9/18,2017/3/4,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/756/205/GCF_000756205.1_ASM75620v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/756/205/GCA_000756205.1_ASM75620v1
